date, value
5/1/16,4.8
6/1/16,4.9
7/1/16,4.8
8/1/16,4.9
9/1/16,5
10/1/16,4.9
11/1/16,4.7
12/1/16,4.7
1/1/17,4.7
2/1/17,4.7
3/1/17,4.4
4/1/17,4.4
5/1/17,4.4
6/1/17,4.3
7/1/17,4.3
8/1/17,4.4
9/1/17,4.2
10/1/17,4.1
11/1/17,4.2
12/1/17,4.1
1/1/18,4.1
2/1/18,4.1
3/1/18,4
4/1/18,3.9
5/1/18,3.8
6/1/18,4
7/1/18,3.9
8/1/18,3.8
9/1/18,3.7
10/1/18,3.8
11/1/18,3.7
12/1/18,3.9
1/1/19,4
2/1/19,3.8
3/1/19,3.8
4/1/19,3.6
